Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,50,Dead,Alive,7.960182,12.03982
Purple,0,50,Dead,Alive,7.680175,12.31982
Purple,0,32,Dead,Alive,9.280212,10.71979
Purple,10,30,Dead,Alive,12.92027,7.079727
Purple,0,50,Dead,Alive,7.340168,12.65983
Purple,10,50,Dead,Alive,8.060184,11.93982
Purple,1,40,Dead,Alive,11.18026,8.819744
Purple,0,50,Dead,Alive,8.840202,11.1598
Purple,1,60,Dead,Alive,10.14023,9.859768
Purple,0,50,Dead,Alive,9.980228,10.01977
Purple,11,40,Dead,Alive,10.52024,9.479759
Purple,0,50,Dead,Alive,7.720176,12.27982
Purple,0,50,Dead,Alive,8.28019,11.71981
Purple,0,50,Dead,Alive,13.50027,6.499727
Purple,5,40,Dead,Alive,8.980206,11.01979
Purple,6,50,Dead,Alive,11.56026,8.439735
Purple,0,30,Dead,Alive,8.220188,11.77981
Purple,0,50,Dead,Alive,13.38027,6.619727
Purple,10,40,Dead,Alive,9.380215,10.61979
Purple,10,50,Dead,Alive,7.220165,12.77983
Purple,10,50,Dead,Alive,6.780155,13.21984
Purple,0,50,Dead,Alive,8.060184,11.93982
Purple,1,70,Dead,Alive,7.360168,12.63983
Purple,1,40,Dead,Alive,16.64027,3.35973
Purple,0,42,Dead,Alive,11.84027,8.159729
Purple,0,50,Dead,Alive,7.340168,12.65983
Purple,1,70,Dead,Alive,18.88027,1.119732
Purple,1,60,Dead,Alive,9.60022,10.39978
Purple,1,70,Dead,Alive,7.560173,12.43983
Purple,0,50,Dead,Alive,8.760201,11.2398
Purple,0,40,Dead,Alive,8.500195,11.49981
Purple,0,42,Dead,Alive,19.42027,0.5797329
Purple,5,42,Dead,Alive,10.30024,9.699764
Purple,0,50,Dead,Alive,7.300167,12.69983
Purple,1,70,Dead,Alive,10.28024,9.719765
Purple,10,32,Dead,Alive,10.62024,9.379757
Purple,0,32,Dead,Alive,14.04027,5.959728
Purple,10,50,Dead,Alive,13.06027,6.939727
Purple,10,50,Dead,Alive,9.980228,10.01977
Purple,0,50,Dead,Alive,8.28019,11.71981
Purple,0,50,Dead,Alive,13.48027,6.519727
Purple,10,40,Dead,Alive,7.580173,12.41983
Purple,0,30,Dead,Alive,7.44017,12.55983
Purple,5,30,Dead,Alive,9.240211,10.75979
Purple,1,60,Dead,Alive,18.26027,1.739732
Purple,0,50,Dead,Alive,6.920158,13.07984
Purple,0,30,Dead,Alive,7.920181,12.07982
Purple,0,30,Dead,Alive,11.62027,8.379734
Draw,20,20,Dead,Dead,,4.479729
Purple,1,40,Dead,Alive,14.68027,5.319728
Purple,0,50,Dead,Alive,7.820179,12.17982
Purple,1,70,Dead,Alive,19.70027,0.2997328
Purple,0,50,Dead,Alive,7.220165,12.77983
Purple,1,60,Dead,Alive,14.48027,5.519728
Purple,0,10,Alive,Alive,11.30026,8.699741
Purple,1,50,Dead,Alive,11.86027,8.139729
Purple,0,40,Dead,Alive,9.780224,10.21978
Purple,0,30,Dead,Alive,12.34027,7.659726
Purple,5,50,Dead,Alive,13.04027,6.959727
Purple,0,40,Dead,Alive,14.20027,5.799728
Purple,1,70,Dead,Alive,12.88027,7.119727
Purple,5,30,Dead,Alive,10.86025,9.139751
Purple,1,40,Dead,Alive,14.88027,5.119729
Purple,0,30,Dead,Alive,12.92027,7.079727
Purple,0,50,Dead,Alive,12.16027,7.839726
Purple,0,50,Dead,Alive,14.80027,5.199728
Purple,0,40,Dead,Alive,8.7202,11.2798
Purple,0,50,Dead,Alive,12.80027,7.199727
Purple,1,42,Dead,Alive,15.90027,4.09973
Purple,1,40,Dead,Alive,13.08027,6.919727
Purple,11,70,Dead,Alive,10.72025,9.279755
Purple,1,60,Dead,Alive,14.88027,5.119729
Purple,0,50,Dead,Alive,18.78027,1.219732
Purple,10,50,Dead,Alive,9.680222,10.31978
Purple,10,50,Dead,Alive,13.62027,6.379727
Purple,6,60,Dead,Alive,18.34027,1.659732
Draw,0,10,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,8.500195,11.49981
Purple,0,50,Dead,Alive,8.560196,11.4398
Purple,10,42,Dead,Alive,14.32027,5.679728
Purple,0,30,Dead,Alive,9.240211,10.75979
Purple,0,52,Dead,Alive,18.60027,1.399732
Purple,0,40,Dead,Alive,9.16021,10.83979
Draw,16,10,Alive,Dead,,0.01973285
Purple,0,42,Dead,Alive,15.50027,4.499729
Purple,7,60,Dead,Alive,13.58027,6.419727
Draw,20,20,Dead,Dead,,11.65981
Draw,0,1,Alive,Alive,,0.01973285
Purple,6,20,Alive,Alive,13.34027,6.659727
Draw,16,10,Alive,Dead,,0.01973285
Purple,6,70,Dead,Alive,10.76025,9.239754
Purple,0,40,Dead,Alive,8.7402,11.2598
Draw,1,20,Alive,Alive,,0.01973285
Purple,0,32,Dead,Alive,16.36027,3.63973
Draw,2,36,Dead,Alive,,0.01973285
Draw,1,10,Alive,Alive,,0.01973285
Purple,1,40,Dead,Alive,11.44026,8.559738
Purple,10,40,Dead,Alive,12.52027,7.479726
Purple,1,50,Dead,Alive,18.56027,1.439732
Purple,11,40,Dead,Alive,13.68027,6.319727
