Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,5,30,Dead,Alive,9.560219,10.43978
Purple,0,40,Dead,Alive,8.460194,11.53981
Purple,5,50,Dead,Alive,7.120162,12.87984
Purple,0,30,Dead,Alive,7.220165,12.77983
Purple,10,30,Dead,Alive,7.520172,12.47983
Purple,0,40,Dead,Alive,7.960182,12.03982
Purple,0,50,Dead,Alive,8.780201,11.2198
Purple,10,50,Dead,Alive,7.90018,12.09982
Purple,0,50,Dead,Alive,6.840156,13.15984
Purple,0,50,Dead,Alive,12.84027,7.159727
Draw,20,25,Dead,Dead,,13.41985
Purple,0,40,Dead,Alive,7.700176,12.29982
Purple,10,50,Dead,Alive,11.90027,8.099728
Purple,0,40,Dead,Alive,13.74027,6.259727
Purple,0,40,Dead,Alive,7.300167,12.69983
Purple,0,50,Dead,Alive,7.100162,12.89984
Purple,0,30,Dead,Alive,7.480171,12.51983
Purple,0,50,Dead,Alive,10.06023,9.93977
Blue,52,0,Alive,Dead,15.60027,4.399729
Purple,10,30,Dead,Alive,7.580173,12.41983
Purple,0,42,Dead,Alive,7.520172,12.47983
Purple,0,0,Alive,Alive,10.18023,9.819767
Blue,52,0,Alive,Dead,10.24023,9.759766
Purple,10,30,Dead,Alive,8.640198,11.3598
Purple,0,50,Dead,Alive,11.26026,8.739742
Draw,15,15,Dead,Dead,,13.89986
Purple,5,40,Dead,Alive,6.680152,13.31985
Purple,10,50,Dead,Alive,9.360214,10.63979
Purple,0,52,Dead,Alive,12.78027,7.219727
Purple,0,50,Dead,Alive,14.34027,5.659728
Purple,0,0,Alive,Alive,10.76025,9.239754
Purple,5,30,Dead,Alive,10.16023,9.839767
Blue,2,10,Alive,Alive,11.84027,8.159729
Purple,0,30,Dead,Alive,7.500171,12.49983
Purple,0,40,Dead,Alive,10.36024,9.639763
Purple,10,52,Dead,Alive,9.440216,10.55978
Purple,0,20,Alive,Alive,13.26027,6.739727
Purple,0,50,Dead,Alive,6.240142,13.75986
Purple,0,50,Dead,Alive,11.68027,8.319733
Purple,0,40,Dead,Alive,10.12023,9.879768
Purple,5,40,Dead,Alive,6.300144,13.69986
Purple,10,40,Dead,Alive,7.180164,12.81984
Purple,0,30,Dead,Alive,14.58027,5.419728
Purple,10,50,Dead,Alive,11.88027,8.119728
Purple,10,50,Dead,Alive,10.92025,9.07975
Purple,10,20,Alive,Alive,14.12027,5.879728
Purple,0,50,Dead,Alive,7.060161,12.93984
Purple,5,30,Dead,Alive,6.600151,13.39985
Draw,25,25,Dead,Dead,,7.959726
Purple,0,22,Alive,Alive,13.30027,6.699727
Purple,0,50,Dead,Alive,14.22027,5.779728
Purple,0,52,Dead,Alive,7.960182,12.03982
Purple,10,52,Dead,Alive,11.64027,8.359734
Purple,10,50,Dead,Alive,13.04027,6.959727
Purple,0,40,Dead,Alive,8.160187,11.83981
Purple,0,50,Dead,Alive,11.30026,8.699741
Purple,0,32,Dead,Alive,8.440193,11.55981
Purple,10,50,Dead,Alive,14.74027,5.259728
Purple,0,50,Dead,Alive,12.60027,7.399726
Purple,0,40,Dead,Alive,8.380192,11.61981
Purple,20,52,Dead,Alive,13.10027,6.899727
Purple,0,50,Dead,Alive,10.52024,9.479759
Purple,0,50,Dead,Alive,11.04025,8.959747
Purple,10,52,Dead,Alive,16.04027,3.95973
Purple,0,40,Dead,Alive,8.600197,11.3998
Draw,10,11,Alive,Alive,,0.01973285
Draw,25,10,Alive,Dead,,0.01973285
Purple,5,32,Dead,Alive,7.740177,12.25982
Purple,0,40,Dead,Alive,8.580196,11.4198
Purple,10,50,Dead,Alive,7.740177,12.25982
Draw,25,25,Dead,Dead,,4.07973
Blue,40,0,Alive,Dead,11.96027,8.039726
Blue,22,0,Alive,Alive,11.50026,8.499737
Blue,0,11,Alive,Alive,11.12025,8.879745
Purple,0,42,Dead,Alive,15.52027,4.479729
Purple,10,50,Dead,Alive,18.86027,1.139732
Draw,20,25,Dead,Dead,,8.059727
Blue,2,10,Alive,Alive,11.78027,8.21973
Purple,10,52,Dead,Alive,12.68027,7.319726
Purple,10,52,Dead,Alive,12.26027,7.739726
Purple,10,50,Dead,Alive,16.00027,3.99973
Draw,10,11,Alive,Alive,,0.01973285
Blue,42,0,Alive,Dead,11.14025,8.859745
Purple,0,50,Dead,Alive,7.220165,12.77983
Blue,22,20,Alive,Alive,15.08027,4.919729
Purple,10,30,Dead,Alive,6.880157,13.11984
Purple,10,52,Dead,Alive,15.38027,4.619729
Purple,0,52,Dead,Alive,13.30027,6.699727
Purple,10,52,Dead,Alive,15.40027,4.599729
Purple,10,50,Dead,Alive,18.58027,1.419732
Purple,10,50,Dead,Alive,8.30019,11.69981
Draw,25,25,Dead,Dead,,2.379731
Purple,5,30,Dead,Alive,7.780178,12.21982
Purple,0,50,Dead,Alive,16.74027,3.25973
Draw,0,0,Alive,Alive,,0.01973285
Draw,0,0,Alive,Alive,,0.01973285
Blue,20,10,Alive,Alive,16.12027,3.87973
Draw,25,10,Alive,Dead,,0.01973285
Draw,0,0,Alive,Alive,,0.01973285
Purple,10,52,Dead,Alive,17.02027,2.979731
