Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left,,,Blue winrate
Blue,54,0,Alive,Dead,8.060184,11.93982,,,88
Blue,4,0,Alive,Alive,8.520195,11.4798,,,
Blue,52,0,Alive,Dead,7.920181,12.07982,,,
Blue,54,0,Alive,Dead,8.060184,11.93982,,,
Blue,40,5,Alive,Dead,8.640198,11.3598,,,
Blue,52,0,Alive,Dead,7.380168,12.61983,,,
Blue,50,0,Alive,Dead,7.220165,12.77983,,,
Blue,22,0,Alive,Alive,10.42024,9.579762,,,
Blue,50,0,Alive,Dead,8.120186,11.87981,,,
Blue,52,0,Alive,Dead,8.700199,11.2998,,,
Blue,50,0,Alive,Dead,9.100208,10.89979,,,
Blue,22,0,Alive,Alive,9.400215,10.59978,,,
Purple,0,50,Dead,Alive,5.600128,14.39987,,,
Blue,22,0,Alive,Alive,9.240211,10.75979,,,
Blue,24,0,Alive,Alive,8.680199,11.3198,,,
Blue,50,0,Alive,Dead,7.940181,12.05982,,,
Purple,5,30,Dead,Alive,9.080208,10.91979,,,
Blue,50,0,Alive,Dead,8.760201,11.2398,,,
Blue,52,0,Alive,Dead,7.700176,12.29982,,,
Blue,0,0,Alive,Alive,8.7202,11.2798,,,
Blue,40,5,Alive,Dead,8.30019,11.69981,,,
Blue,52,0,Alive,Dead,8.620197,11.3798,,,
Blue,2,0,Alive,Alive,9.880226,10.11977,,,
Blue,52,10,Alive,Dead,7.720176,12.27982,,,
Purple,10,40,Dead,Alive,8.600197,11.3998,,,
Blue,0,0,Alive,Alive,9.200211,10.79979,,,
Blue,54,0,Alive,Dead,8.820202,11.1798,,,
Blue,0,0,Alive,Alive,7.90018,12.09982,,,
Blue,52,0,Alive,Dead,8.560196,11.4398,,,
Blue,24,0,Alive,Alive,8.680199,11.3198,,,
Blue,40,0,Alive,Dead,8.860203,11.1398,,,
Blue,20,5,Alive,Alive,9.880226,10.11977,,,
Purple,10,50,Dead,Alive,10.06023,9.93977,,,
Blue,54,0,Alive,Dead,7.920181,12.07982,,,
Blue,52,0,Alive,Dead,7.380168,12.61983,,,
Purple,0,50,Dead,Alive,10.32024,9.679764,,,
Blue,52,0,Alive,Dead,7.280166,12.71983,,,
Blue,22,0,Alive,Alive,8.860203,11.1398,,,
Blue,52,0,Alive,Dead,9.080208,10.91979,,,
Blue,2,0,Alive,Alive,9.340214,10.65979,,,
Blue,54,0,Alive,Dead,7.100162,12.89984,,,
Blue,2,0,Alive,Alive,9.60022,10.39978,,,
Blue,10,0,Alive,Alive,9.520218,10.47978,,,
Blue,52,10,Alive,Dead,10.30024,9.699764,,,
Blue,52,0,Alive,Dead,8.800201,11.1998,,,
Blue,50,0,Alive,Dead,8.780201,11.2198,,,
Blue,2,0,Alive,Alive,8.380192,11.61981,,,
Blue,0,0,Alive,Alive,9.280212,10.71979,,,
Blue,24,0,Alive,Alive,8.480194,11.51981,,,
Blue,20,0,Alive,Alive,10.88025,9.119751,,,
Blue,22,0,Alive,Alive,12.06027,7.939726,,,
Purple,10,30,Dead,Alive,7.500171,12.49983,,,
Blue,4,0,Alive,Alive,9.360214,10.63979,,,
Blue,50,0,Alive,Dead,9.040207,10.95979,,,
Blue,12,0,Alive,Alive,8.380192,11.61981,,,
Blue,22,0,Alive,Alive,8.7402,11.2598,,,
Blue,54,0,Alive,Dead,7.940181,12.05982,,,
Blue,20,0,Alive,Alive,8.980206,11.01979,,,
Blue,22,10,Alive,Alive,12.78027,7.219727,,,
Blue,2,1,Alive,Alive,8.700199,11.2998,,,
Blue,2,0,Alive,Alive,8.32019,11.67981,,,
Blue,2,0,Alive,Alive,11.50026,8.499737,,,
Purple,1,40,Dead,Alive,8.460194,11.53981,,,
Blue,2,0,Alive,Alive,11.54026,8.459736,,,
Blue,52,0,Alive,Dead,7.44017,12.55983,,,
Blue,50,0,Alive,Dead,9.780224,10.21978,,,
Draw,20,20,Dead,Dead,,14.67988,,,
Blue,24,10,Alive,Alive,13.76027,6.239727,,,
Blue,0,0,Alive,Alive,9.280212,10.71979,,,
Blue,2,0,Alive,Alive,11.56026,8.439735,,,
Blue,22,0,Alive,Alive,9.740223,10.25978,,,
Blue,54,0,Alive,Dead,7.340168,12.65983,,,
Blue,54,10,Alive,Dead,11.48026,8.519737,,,
Blue,22,0,Alive,Alive,11.68027,8.319733,,,
Blue,20,0,Alive,Alive,9.780224,10.21978,,,
Blue,2,0,Alive,Alive,8.860203,11.1398,,,
Purple,10,50,Dead,Alive,10.00023,9.999771,,,
Blue,20,0,Alive,Alive,12.84027,7.159727,,,
Blue,0,0,Alive,Alive,9.760223,10.23978,,,
Blue,50,0,Alive,Dead,8.620197,11.3798,,,
Blue,0,0,Alive,Alive,10.00023,9.999771,,,
Blue,42,0,Alive,Dead,7.580173,12.41983,,,
Blue,2,0,Alive,Alive,14.74027,5.259728,,,
Blue,2,0,Alive,Alive,9.460217,10.53978,,,
Blue,4,0,Alive,Alive,8.820202,11.1798,,,
Blue,22,0,Alive,Alive,8.880203,11.1198,,,
Purple,0,30,Dead,Alive,9.340214,10.65979,,,
Blue,0,10,Alive,Alive,9.140209,10.85979,,,
Blue,2,0,Alive,Alive,11.60027,8.399734,,,
Blue,22,10,Alive,Alive,13.04027,6.959727,,,
Purple,10,50,Dead,Alive,6.12014,13.87986,,,
Purple,10,50,Dead,Alive,12.90027,7.099727,,,
Blue,22,0,Alive,Alive,9.480217,10.51978,,,
Blue,2,0,Alive,Alive,12.32027,7.679726,,,
Blue,2,0,Alive,Alive,12.36027,7.639726,,,
Blue,22,0,Alive,Alive,8.460194,11.53981,,,
Blue,42,5,Alive,Dead,8.140186,11.85981,,,
Blue,0,10,Alive,Alive,15.72027,4.279729,,,
Blue,24,0,Alive,Alive,8.340191,11.65981,,,
Blue,20,0,Alive,Alive,12.64027,7.359726,,,
