Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,10,50,Dead,Alive,7.280166,12.71983
Purple,0,50,Dead,Alive,6.980159,13.01984
Purple,0,50,Dead,Alive,7.02016,12.97984
Purple,0,50,Dead,Alive,8.660198,11.3398
Purple,1,70,Dead,Alive,9.920227,10.07977
Purple,1,70,Dead,Alive,7.360168,12.63983
Purple,0,50,Dead,Alive,8.120186,11.87981
Purple,0,50,Dead,Alive,7.520172,12.47983
Purple,1,60,Dead,Alive,7.540172,12.45983
Purple,10,42,Dead,Alive,9.740223,10.25978
Purple,0,50,Dead,Alive,7.160163,12.83984
Purple,0,50,Dead,Alive,7.320167,12.67983
Purple,0,50,Dead,Alive,10.92025,9.07975
Purple,0,42,Dead,Alive,7.140163,12.85984
Purple,0,50,Dead,Alive,8.160187,11.83981
Purple,0,50,Dead,Alive,7.820179,12.17982
Purple,0,50,Dead,Alive,9.080208,10.91979
Purple,1,60,Dead,Alive,8.080185,11.91982
Purple,1,70,Dead,Alive,7.580173,12.41983
Purple,0,40,Dead,Alive,8.620197,11.3798
Purple,1,60,Dead,Alive,8.640198,11.3598
Purple,0,50,Dead,Alive,8.420193,11.57981
Purple,0,50,Dead,Alive,7.940181,12.05982
Purple,1,70,Dead,Alive,8.780201,11.2198
Purple,0,50,Dead,Alive,8.240189,11.75981
Purple,0,30,Dead,Alive,7.44017,12.55983
Purple,0,50,Dead,Alive,7.44017,12.55983
Purple,0,50,Dead,Alive,8.680199,11.3198
Purple,1,70,Dead,Alive,8.660198,11.3398
Purple,0,50,Dead,Alive,10.44024,9.559761
Purple,1,60,Dead,Alive,9.040207,10.95979
Purple,0,30,Dead,Alive,8.660198,11.3398
Purple,1,70,Dead,Alive,9.020206,10.97979
Purple,0,50,Dead,Alive,7.380168,12.61983
Purple,0,50,Dead,Alive,8.640198,11.3598
Purple,1,70,Dead,Alive,9.60022,10.39978
Purple,10,50,Dead,Alive,8.30019,11.69981
Purple,0,50,Dead,Alive,7.00016,12.99984
Purple,0,52,Dead,Alive,8.660198,11.3398
Purple,10,50,Dead,Alive,9.460217,10.53978
Purple,1,40,Dead,Alive,9.020206,10.97979
Purple,0,50,Dead,Alive,7.380168,12.61983
Purple,1,50,Dead,Alive,9.400215,10.59978
Purple,0,52,Dead,Alive,9.120209,10.87979
Purple,10,50,Dead,Alive,8.840202,11.1598
Purple,0,50,Dead,Alive,8.460194,11.53981
Purple,0,52,Dead,Alive,9.040207,10.95979
Purple,5,40,Dead,Alive,9.560219,10.43978
Purple,1,60,Dead,Alive,8.760201,11.2398
Purple,1,60,Dead,Alive,8.960205,11.03979
Purple,1,70,Dead,Alive,9.100208,10.89979
Purple,1,50,Dead,Alive,9.760223,10.23978
Purple,1,60,Dead,Alive,7.300167,12.69983
Purple,1,70,Dead,Alive,10.60024,9.399757
Purple,0,52,Dead,Alive,8.7402,11.2598
Purple,0,50,Dead,Alive,9.60022,10.39978
Purple,11,70,Dead,Alive,11.50026,8.499737
Purple,0,50,Dead,Alive,8.780201,11.2198
Purple,0,50,Dead,Alive,9.760223,10.23978
Purple,0,52,Dead,Alive,7.060161,12.93984
Purple,0,52,Dead,Alive,9.500217,10.49978
Purple,1,50,Dead,Alive,9.300213,10.69979
Purple,1,20,Alive,Alive,10.38024,9.619762
Purple,0,50,Dead,Alive,10.30024,9.699764
Purple,0,50,Dead,Alive,7.300167,12.69983
Purple,1,70,Dead,Alive,8.260189,11.73981
Purple,1,70,Dead,Alive,7.480171,12.51983
Purple,0,50,Dead,Alive,12.58027,7.419726
Purple,0,50,Dead,Alive,8.520195,11.4798
Purple,10,50,Dead,Alive,10.38024,9.619762
Purple,0,40,Dead,Alive,7.44017,12.55983
Purple,1,40,Dead,Alive,11.94027,8.059727
Purple,0,50,Dead,Alive,8.500195,11.49981
Purple,0,50,Dead,Alive,7.620174,12.37983
Purple,1,70,Dead,Alive,12.18027,7.819726
Purple,0,50,Dead,Alive,11.84027,8.159729
Purple,1,70,Dead,Alive,8.780201,11.2198
Purple,0,50,Dead,Alive,7.600173,12.39983
Purple,0,52,Dead,Alive,13.24027,6.759727
Purple,0,40,Dead,Alive,9.880226,10.11977
Purple,6,40,Dead,Alive,9.720222,10.27978
Purple,10,50,Dead,Alive,7.800178,12.19982
Purple,1,70,Dead,Alive,11.56026,8.439735
Purple,1,60,Dead,Alive,10.98025,9.019749
Purple,1,40,Dead,Alive,13.90027,6.099728
Purple,0,52,Dead,Alive,7.640174,12.35983
Purple,1,20,Alive,Alive,13.14027,6.859727
Purple,1,60,Dead,Alive,11.86027,8.139729
Purple,1,70,Dead,Alive,12.12027,7.879726
Purple,0,50,Dead,Alive,9.860226,10.13977
Purple,1,70,Dead,Alive,8.500195,11.49981
Purple,0,50,Dead,Alive,8.640198,11.3598
Purple,0,52,Dead,Alive,8.760201,11.2398
Purple,0,50,Dead,Alive,9.300213,10.69979
Draw,0,21,Dead,Alive,,0.01973285
Purple,0,50,Dead,Alive,8.600197,11.3998
Purple,0,50,Dead,Alive,11.72027,8.279732
Purple,1,70,Dead,Alive,7.88018,12.11982
Purple,1,70,Dead,Alive,17.74027,2.259731
Purple,1,40,Dead,Alive,11.98027,8.019726
