Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,10,30,Dead,Alive,6.940158,13.05984
Purple,0,50,Dead,Alive,6.500148,13.49985
Blue,40,10,Alive,Dead,7.640174,12.35983
Blue,50,0,Alive,Dead,10.00023,9.999771
Purple,0,50,Dead,Alive,6.760154,13.23985
Purple,10,50,Dead,Alive,9.660221,10.33978
Draw,25,25,Dead,Dead,,6.619727
Purple,10,50,Dead,Alive,7.060161,12.93984
Purple,10,50,Dead,Alive,7.040161,12.95984
Purple,0,50,Dead,Alive,7.080162,12.91984
Purple,0,30,Dead,Alive,7.620174,12.37983
Purple,0,40,Dead,Alive,6.320144,13.67986
Purple,0,50,Dead,Alive,13.30027,6.699727
Blue,50,10,Alive,Dead,10.44024,9.559761
Purple,0,30,Dead,Alive,7.240165,12.75983
Purple,0,50,Dead,Alive,7.560173,12.43983
Draw,20,25,Dead,Dead,,15.4799
Purple,0,50,Dead,Alive,6.420146,13.57985
Blue,0,0,Alive,Alive,13.64027,6.359727
Purple,10,52,Dead,Alive,15.10027,4.899729
Purple,0,30,Dead,Alive,8.500195,11.49981
Purple,0,50,Dead,Alive,13.64027,6.359727
Purple,10,30,Dead,Alive,10.02023,9.979771
Purple,0,42,Dead,Alive,9.460217,10.53978
Purple,0,50,Dead,Alive,6.460147,13.53985
Purple,0,40,Dead,Alive,6.340145,13.65985
Purple,0,50,Dead,Alive,10.16023,9.839767
Draw,25,0,Alive,Dead,,0.01973285
Purple,5,50,Dead,Alive,6.480148,13.51985
Purple,0,50,Dead,Alive,6.58015,13.41985
Blue,20,5,Alive,Alive,10.20023,9.799767
Purple,10,50,Dead,Alive,4.84011,15.15989
Purple,10,50,Dead,Alive,17.02027,2.979731
Purple,10,30,Dead,Alive,8.000183,11.99982
Purple,0,40,Dead,Alive,9.880226,10.11977
Purple,0,50,Dead,Alive,14.36027,5.639728
Purple,10,50,Dead,Alive,7.080162,12.91984
Purple,10,50,Dead,Alive,13.38027,6.619727
Purple,5,50,Dead,Alive,7.660175,12.33982
Purple,0,50,Dead,Alive,7.90018,12.09982
Blue,0,0,Alive,Alive,10.78025,9.219753
Purple,10,40,Dead,Alive,7.220165,12.77983
Purple,1,70,Dead,Alive,15.06027,4.939729
Purple,0,50,Dead,Alive,10.24023,9.759766
Purple,10,50,Dead,Alive,7.080162,12.91984
Purple,0,30,Dead,Alive,9.080208,10.91979
Purple,0,50,Dead,Alive,14.92027,5.079729
Purple,0,50,Dead,Alive,11.94027,8.059727
Purple,0,50,Dead,Alive,6.020137,13.97986
Purple,0,50,Dead,Alive,10.82025,9.179752
Draw,20,20,Dead,Dead,,13.99986
Purple,10,50,Dead,Alive,15.26027,4.739729
Purple,10,52,Dead,Alive,14.28027,5.719728
Purple,0,40,Dead,Alive,8.040184,11.95982
Purple,0,50,Dead,Alive,10.86025,9.139751
Purple,0,52,Dead,Alive,17.66027,2.339731
Purple,10,30,Dead,Alive,8.7202,11.2798
Purple,0,50,Dead,Alive,12.42027,7.579726
Blue,50,0,Alive,Dead,10.94025,9.05975
Purple,0,50,Dead,Alive,7.00016,12.99984
Blue,50,0,Alive,Dead,9.680222,10.31978
Purple,0,50,Dead,Alive,19.08027,0.9197326
Purple,0,20,Alive,Alive,14.02027,5.979728
Purple,10,30,Dead,Alive,6.860157,13.13984
Purple,0,50,Dead,Alive,8.760201,11.2398
Purple,0,50,Dead,Alive,13.40027,6.599727
Purple,10,50,Dead,Alive,10.46024,9.539761
Purple,10,50,Dead,Alive,13.88027,6.119728
Blue,20,0,Alive,Alive,10.20023,9.799767
Purple,0,50,Dead,Alive,10.60024,9.399757
Blue,40,10,Alive,Dead,8.900204,11.0998
Purple,0,50,Dead,Alive,6.340145,13.65985
Purple,0,52,Dead,Alive,16.84027,3.15973
Purple,0,52,Dead,Alive,10.20023,9.799767
Purple,10,50,Dead,Alive,17.00027,2.999731
Draw,25,10,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,10.24023,9.759766
Blue,0,10,Alive,Alive,12.00027,7.999726
Draw,0,0,Alive,Alive,,0.01973285
Draw,20,20,Dead,Dead,,15.4199
Purple,0,50,Dead,Alive,10.72025,9.279755
Draw,0,0,Alive,Alive,,0.01973285
Draw,25,10,Alive,Dead,,0.01973285
Purple,5,40,Dead,Alive,6.840156,13.15984
Purple,0,52,Dead,Alive,15.40027,4.599729
Purple,0,50,Dead,Alive,10.44024,9.559761
Purple,0,50,Dead,Alive,12.96027,7.039727
Draw,25,0,Alive,Dead,,0.01973285
Draw,0,1,Alive,Alive,,0.01973285
Blue,40,0,Alive,Dead,9.900227,10.09977
Purple,10,52,Dead,Alive,16.58027,3.41973
Purple,5,50,Dead,Alive,10.38024,9.619762
Draw,20,0,Alive,Dead,,0.01973285
Blue,2,0,Alive,Alive,10.70024,9.299755
Draw,25,25,Dead,Dead,,3.83973
Purple,10,50,Dead,Alive,12.36027,7.639726
Draw,0,0,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,6.720153,13.27985
Purple,10,50,Dead,Alive,15.10027,4.899729
Draw,25,0,Alive,Dead,,0.01973285
