Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,50,Dead,Alive,14.30027,5.699728
Purple,0,30,Dead,Alive,10.06023,9.93977
Purple,0,30,Dead,Alive,10.86025,9.139751
Purple,10,52,Dead,Alive,7.240165,12.75983
Purple,0,50,Dead,Alive,7.380168,12.61983
Purple,0,30,Dead,Alive,8.560196,11.4398
Purple,0,40,Dead,Alive,9.040207,10.95979
Purple,1,42,Dead,Alive,8.600197,11.3998
Purple,0,50,Dead,Alive,11.02025,8.979748
Purple,1,50,Dead,Alive,12.72027,7.279727
Purple,0,50,Dead,Alive,10.54024,9.459759
Purple,0,50,Dead,Alive,9.18021,10.81979
Purple,0,30,Dead,Alive,9.960228,10.03977
Purple,1,60,Dead,Alive,10.52024,9.479759
Purple,1,70,Dead,Alive,10.08023,9.919769
Purple,0,50,Dead,Alive,10.94025,9.05975
Purple,0,50,Dead,Alive,10.36024,9.639763
Purple,0,30,Dead,Alive,9.260212,10.73979
Purple,0,52,Dead,Alive,10.58024,9.419758
Purple,0,50,Dead,Alive,9.18021,10.81979
Purple,1,70,Dead,Alive,10.28024,9.719765
Purple,0,52,Dead,Alive,9.540218,10.45978
Purple,0,50,Dead,Alive,9.200211,10.79979
Purple,1,70,Dead,Alive,14.28027,5.719728
Purple,0,50,Dead,Alive,7.100162,12.89984
Purple,0,50,Dead,Alive,9.920227,10.07977
Purple,0,32,Dead,Alive,7.240165,12.75983
Purple,6,50,Dead,Alive,8.7402,11.2598
Purple,10,50,Dead,Alive,15.20027,4.799729
Purple,0,30,Dead,Alive,10.06023,9.93977
Purple,10,50,Dead,Alive,7.500171,12.49983
Purple,0,52,Dead,Alive,15.08027,4.919729
Purple,0,30,Dead,Alive,9.440216,10.55978
Purple,0,30,Dead,Alive,10.92025,9.07975
Purple,0,50,Dead,Alive,8.980206,11.01979
Purple,5,42,Dead,Alive,12.10027,7.899726
Purple,10,50,Dead,Alive,9.760223,10.23978
Purple,1,70,Dead,Alive,11.42026,8.579739
Purple,1,72,Dead,Alive,8.360191,11.63981
Purple,0,50,Dead,Alive,10.90025,9.099751
Purple,0,40,Dead,Alive,10.14023,9.859768
Purple,2,80,Dead,Alive,12.42027,7.579726
Purple,0,50,Dead,Alive,8.240189,11.75981
Purple,1,70,Dead,Alive,12.84027,7.159727
Purple,0,30,Dead,Alive,10.14023,9.859768
Purple,10,52,Dead,Alive,15.10027,4.899729
Purple,0,50,Dead,Alive,8.460194,11.53981
Purple,10,30,Dead,Alive,9.340214,10.65979
Purple,0,50,Dead,Alive,13.50027,6.499727
Purple,0,30,Dead,Alive,9.660221,10.33978
Purple,0,50,Dead,Alive,11.30026,8.699741
Purple,0,32,Dead,Alive,12.58027,7.419726
Purple,10,50,Dead,Alive,8.800201,11.1998
Purple,1,72,Dead,Alive,17.12027,2.879731
Purple,0,50,Dead,Alive,6.900157,13.09984
Purple,0,50,Dead,Alive,8.220188,11.77981
Purple,0,50,Dead,Alive,15.74027,4.259729
Purple,0,54,Dead,Alive,11.76027,8.239731
Purple,0,52,Dead,Alive,9.960228,10.03977
Purple,0,42,Dead,Alive,15.78027,4.219729
Purple,10,42,Dead,Alive,12.76027,7.239727
Purple,0,50,Dead,Alive,6.56015,13.43985
Purple,2,60,Dead,Alive,18.32027,1.679732
Purple,1,62,Dead,Alive,12.14027,7.859726
Purple,1,70,Dead,Alive,12.56027,7.439726
Purple,1,70,Dead,Alive,10.14023,9.859768
Purple,0,50,Dead,Alive,13.30027,6.699727
Purple,11,70,Dead,Alive,15.34027,4.659729
Purple,10,40,Dead,Alive,11.60027,8.399734
Purple,1,60,Dead,Alive,13.58027,6.419727
Purple,0,32,Dead,Alive,11.52026,8.479736
Purple,0,50,Dead,Alive,16.02027,3.97973
Purple,1,62,Dead,Alive,13.22027,6.779727
Purple,1,70,Dead,Alive,15.28027,4.719729
Purple,0,50,Dead,Alive,10.46024,9.539761
Purple,0,52,Dead,Alive,12.82027,7.179727
Purple,1,72,Dead,Alive,10.88025,9.119751
Purple,2,90,Dead,Alive,19.44027,0.5597329
Purple,0,50,Dead,Alive,9.140209,10.85979
Purple,0,52,Dead,Alive,15.32027,4.679729
Purple,1,70,Dead,Alive,10.80025,9.199753
Purple,1,60,Dead,Alive,13.38027,6.619727
Purple,0,20,Alive,Alive,13.66027,6.339727
Purple,0,50,Dead,Alive,11.06025,8.939747
Purple,11,70,Dead,Alive,19.14027,0.8597326
Purple,0,50,Dead,Alive,10.16023,9.839767
Purple,1,60,Dead,Alive,18.76027,1.239732
Purple,0,50,Dead,Alive,12.76027,7.239727
Purple,0,50,Dead,Alive,7.740177,12.25982
Draw,1,11,Alive,Alive,,0.01973285
Purple,1,62,Dead,Alive,17.16027,2.839731
Purple,0,40,Dead,Alive,9.460217,10.53978
Purple,1,70,Dead,Alive,18.02027,1.979732
Purple,5,40,Dead,Alive,12.22027,7.779726
Purple,1,74,Dead,Alive,14.20027,5.799728
Purple,1,72,Dead,Alive,10.86025,9.139751
Purple,11,70,Dead,Alive,12.24027,7.759726
Purple,10,50,Dead,Alive,13.52027,6.479727
Purple,0,50,Dead,Alive,16.54027,3.45973
Purple,6,52,Dead,Alive,18.56027,1.439732
