Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Blue,0,0,Alive,Alive,11.52026,8.479736
Blue,0,1,Alive,Alive,12.10027,7.899726
Purple,0,50,Dead,Alive,11.34026,8.65974
Purple,0,50,Dead,Alive,16.66027,3.33973
Blue,0,0,Alive,Alive,10.64024,9.359756
Purple,1,60,Dead,Alive,14.88027,5.119729
Purple,12,80,Dead,Alive,12.48027,7.519726
Blue,0,0,Alive,Alive,10.66024,9.339756
Blue,0,0,Alive,Alive,13.56027,6.439727
Blue,0,0,Alive,Alive,10.68024,9.319756
Purple,1,70,Dead,Alive,16.66027,3.33973
Blue,0,0,Alive,Alive,11.60027,8.399734
Blue,0,0,Alive,Alive,12.50027,7.499726
Blue,0,0,Alive,Alive,11.14025,8.859745
Blue,0,0,Alive,Alive,11.62027,8.379734
Purple,1,70,Dead,Alive,11.92027,8.079727
Purple,0,50,Dead,Alive,15.68027,4.319729
Purple,0,50,Dead,Alive,8.360191,11.63981
Purple,0,50,Dead,Alive,16.84027,3.15973
Blue,0,0,Alive,Alive,10.74025,9.259754
Blue,0,0,Alive,Alive,12.18027,7.819726
Blue,2,1,Alive,Alive,11.40026,8.599739
Purple,1,62,Dead,Alive,17.60027,2.399731
Blue,0,0,Alive,Alive,12.02027,7.979726
Blue,0,11,Alive,Alive,10.64024,9.359756
Blue,0,0,Alive,Alive,13.18027,6.819727
Purple,0,40,Dead,Alive,14.42027,5.579728
Blue,0,0,Alive,Alive,12.30027,7.699726
Blue,0,0,Alive,Alive,12.24027,7.759726
Blue,0,0,Alive,Alive,11.82027,8.179729
Purple,0,50,Dead,Alive,13.00027,6.999727
Blue,0,1,Alive,Alive,10.42024,9.579762
Purple,1,60,Dead,Alive,18.68027,1.319732
Blue,0,0,Alive,Alive,12.64027,7.359726
Blue,0,0,Alive,Alive,10.66024,9.339756
Purple,1,70,Dead,Alive,14.22027,5.779728
Blue,0,10,Alive,Alive,13.20027,6.799727
Purple,2,90,Dead,Alive,17.32027,2.679731
Blue,0,1,Alive,Alive,12.36027,7.639726
Blue,0,0,Alive,Alive,11.14025,8.859745
Purple,0,50,Dead,Alive,15.08027,4.919729
Purple,0,50,Dead,Alive,13.24027,6.759727
Purple,1,70,Dead,Alive,14.94027,5.059729
Blue,2,1,Alive,Alive,10.60024,9.399757
Purple,1,70,Dead,Alive,15.00027,4.999729
Blue,0,0,Alive,Alive,12.52027,7.479726
Blue,0,0,Alive,Alive,14.30027,5.699728
Purple,2,90,Dead,Alive,17.96027,2.039732
Purple,2,80,Dead,Alive,15.64027,4.359729
Purple,0,50,Dead,Alive,8.700199,11.2998
Purple,0,50,Dead,Alive,16.38027,3.61973
Purple,2,60,Dead,Alive,19.58027,0.4197329
Blue,0,0,Alive,Alive,11.56026,8.439735
Blue,0,0,Alive,Alive,10.32024,9.679764
Blue,0,0,Alive,Alive,12.04027,7.959726
Purple,1,70,Dead,Alive,18.14027,1.859732
Blue,0,0,Alive,Alive,11.90027,8.099728
Purple,2,90,Dead,Alive,17.00027,2.999731
Purple,0,52,Dead,Alive,14.20027,5.799728
Purple,0,30,Dead,Alive,8.780201,11.2198
Blue,0,0,Alive,Alive,14.76027,5.239728
Purple,1,72,Dead,Alive,15.54027,4.459729
Blue,0,1,Alive,Alive,13.12027,6.879727
Blue,0,0,Alive,Alive,11.72027,8.279732
Purple,2,90,Dead,Alive,15.56027,4.439729
Blue,2,10,Alive,Alive,10.32024,9.679764
Purple,1,60,Dead,Alive,14.74027,5.259728
Draw,2,40,Dead,Alive,,0.01973285
Purple,0,30,Dead,Alive,8.840202,11.1598
Purple,1,40,Dead,Alive,17.24027,2.759731
Purple,2,90,Dead,Alive,16.50027,3.49973
Purple,12,60,Dead,Alive,13.34027,6.659727
Purple,1,70,Dead,Alive,16.42027,3.57973
Purple,0,52,Dead,Alive,12.10027,7.899726
Blue,0,0,Alive,Alive,14.50027,5.499728
Purple,1,72,Dead,Alive,15.78027,4.219729
Blue,0,0,Alive,Alive,10.80025,9.199753
Purple,2,90,Dead,Alive,19.94027,0.05973285
Blue,0,1,Alive,Alive,12.34027,7.659726
Purple,0,50,Dead,Alive,15.58027,4.419729
Blue,0,1,Alive,Alive,10.96025,9.039749
Blue,0,0,Alive,Alive,12.92027,7.079727
Draw,1,35,Dead,Alive,,0.01973285
Purple,11,70,Dead,Alive,14.22027,5.779728
Purple,2,90,Dead,Alive,18.62027,1.379732
Draw,2,10,Alive,Alive,,0.01973285
Purple,10,50,Dead,Alive,9.820225,10.17978
Purple,2,90,Dead,Alive,16.84027,3.15973
Purple,0,44,Dead,Alive,10.96025,9.039749
Purple,1,42,Dead,Alive,19.96027,0.03973285
Purple,0,50,Dead,Alive,11.72027,8.279732
Purple,2,50,Dead,Alive,13.00027,6.999727
Purple,1,42,Dead,Alive,13.46027,6.539727
Draw,1,35,Dead,Alive,,0.01973285
Purple,1,64,Dead,Alive,19.82027,0.1797328
Blue,0,0,Alive,Alive,15.84027,4.159729
Purple,7,50,Dead,Alive,16.66027,3.33973
Blue,0,1,Alive,Alive,10.68024,9.319756
Purple,1,70,Dead,Alive,18.42027,1.579732
Purple,1,70,Dead,Alive,18.20027,1.799732
