Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,10,50,Dead,Alive,7.060161,12.93984
Purple,0,50,Dead,Alive,7.90018,12.09982
Purple,0,50,Dead,Alive,6.860157,13.13984
Purple,0,50,Dead,Alive,7.620174,12.37983
Purple,0,50,Dead,Alive,6.860157,13.13984
Purple,0,50,Dead,Alive,7.360168,12.63983
Purple,0,50,Dead,Alive,8.820202,11.1798
Purple,10,50,Dead,Alive,6.980159,13.01984
Purple,0,40,Dead,Alive,7.00016,12.99984
Purple,0,50,Dead,Alive,7.44017,12.55983
Purple,0,50,Dead,Alive,6.440147,13.55985
Purple,0,50,Dead,Alive,7.46017,12.53983
Purple,0,40,Dead,Alive,9.520218,10.47978
Purple,10,50,Dead,Alive,6.720153,13.27985
Purple,0,52,Dead,Alive,7.920181,12.07982
Purple,0,40,Dead,Alive,7.320167,12.67983
Purple,10,50,Dead,Alive,7.340168,12.65983
Purple,0,50,Dead,Alive,8.760201,11.2398
Purple,0,52,Dead,Alive,7.160163,12.83984
Purple,0,50,Dead,Alive,7.780178,12.21982
Purple,0,50,Dead,Alive,7.620174,12.37983
Draw,25,25,Dead,Dead,,13.71986
Purple,5,30,Dead,Alive,7.400169,12.59983
Purple,10,40,Dead,Alive,8.480194,11.51981
Purple,10,52,Dead,Alive,8.7202,11.2798
Purple,10,50,Dead,Alive,6.880157,13.11984
Purple,10,50,Dead,Alive,7.90018,12.09982
Purple,10,50,Dead,Alive,8.380192,11.61981
Purple,0,52,Dead,Alive,8.200188,11.79981
Purple,0,50,Dead,Alive,7.260166,12.73983
Purple,10,50,Dead,Alive,7.700176,12.29982
Purple,0,50,Dead,Alive,8.060184,11.93982
Draw,25,25,Dead,Dead,,13.13984
Purple,0,50,Dead,Alive,8.640198,11.3598
Purple,0,30,Dead,Alive,7.720176,12.27982
Purple,0,50,Dead,Alive,8.30019,11.69981
Purple,0,40,Dead,Alive,9.62022,10.37978
Purple,0,50,Dead,Alive,7.640174,12.35983
Purple,0,50,Dead,Alive,6.320144,13.67986
Purple,0,50,Dead,Alive,7.680175,12.31982
Purple,0,42,Dead,Alive,11.02025,8.979748
Purple,10,50,Dead,Alive,7.280166,12.71983
Draw,25,25,Dead,Dead,,13.95986
Purple,0,50,Dead,Alive,7.400169,12.59983
Purple,0,50,Dead,Alive,7.840179,12.15982
Purple,10,50,Dead,Alive,7.680175,12.31982
Purple,0,50,Dead,Alive,7.280166,12.71983
Purple,0,50,Dead,Alive,7.580173,12.41983
Purple,0,50,Dead,Alive,7.980182,12.01982
Purple,5,30,Dead,Alive,9.500217,10.49978
Purple,0,50,Dead,Alive,9.380215,10.61979
Purple,0,50,Dead,Alive,8.220188,11.77981
Purple,0,50,Dead,Alive,7.800178,12.19982
Purple,0,52,Dead,Alive,7.480171,12.51983
Purple,0,50,Dead,Alive,7.320167,12.67983
Purple,0,40,Dead,Alive,10.76025,9.239754
Purple,0,50,Dead,Alive,7.520172,12.47983
Purple,10,40,Dead,Alive,10.44024,9.559761
Purple,0,52,Dead,Alive,7.280166,12.71983
Draw,25,25,Dead,Dead,,14.33987
Purple,0,50,Dead,Alive,9.000206,10.99979
Purple,0,52,Dead,Alive,8.080185,11.91982
Purple,0,30,Dead,Alive,9.320213,10.67979
Purple,0,50,Dead,Alive,8.30019,11.69981
Purple,0,40,Dead,Alive,8.520195,11.4798
Purple,10,40,Dead,Alive,11.38026,8.61974
Purple,10,50,Dead,Alive,8.180187,11.81981
Purple,0,50,Dead,Alive,8.32019,11.67981
Purple,0,52,Dead,Alive,7.480171,12.51983
Purple,0,50,Dead,Alive,8.140186,11.85981
Purple,10,50,Dead,Alive,6.220142,13.77986
Draw,26,0,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,7.00016,12.99984
Draw,15,15,Dead,Dead,,13.69986
Purple,0,50,Dead,Alive,7.640174,12.35983
Purple,10,50,Dead,Alive,12.60027,7.399726
Purple,10,50,Dead,Alive,12.76027,7.239727
Purple,10,50,Dead,Alive,9.840225,10.15977
Purple,0,50,Dead,Alive,8.560196,11.4398
Draw,25,25,Dead,Dead,,12.77983
Purple,0,50,Dead,Alive,7.820179,12.17982
Draw,25,10,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,8.460194,11.53981
Purple,5,30,Dead,Alive,8.120186,11.87981
Purple,10,50,Dead,Alive,7.980182,12.01982
Purple,10,50,Dead,Alive,6.500148,13.49985
Blue,34,5,Alive,Dead,18.32027,1.679732
Purple,0,50,Dead,Alive,10.38024,9.619762
Purple,10,52,Dead,Alive,8.7402,11.2598
Purple,0,50,Dead,Alive,8.600197,11.3998
Draw,26,10,Alive,Dead,,0.01973285
Purple,0,50,Dead,Alive,7.060161,12.93984
Purple,0,52,Dead,Alive,10.72025,9.279755
Purple,0,50,Dead,Alive,10.42024,9.579762
Purple,10,30,Dead,Alive,11.84027,8.159729
Draw,26,10,Alive,Dead,,0.01973285
Purple,0,30,Dead,Alive,9.700222,10.29978
Draw,26,0,Alive,Dead,,0.01973285
Purple,0,40,Dead,Alive,7.840179,12.15982
Purple,0,50,Dead,Alive,6.680152,13.31985
