Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,40,Dead,Alive,6.540149,13.45985
Purple,0,50,Dead,Alive,7.600173,12.39983
Purple,0,40,Dead,Alive,7.100162,12.89984
Purple,1,70,Dead,Alive,11.56026,8.439735
Purple,0,50,Dead,Alive,7.860179,12.13982
Purple,0,50,Dead,Alive,8.660198,11.3398
Purple,0,50,Dead,Alive,9.860226,10.13977
Purple,0,40,Dead,Alive,9.880226,10.11977
Purple,0,50,Dead,Alive,7.680175,12.31982
Purple,0,50,Dead,Alive,7.540172,12.45983
Purple,0,50,Dead,Alive,8.420193,11.57981
Purple,0,50,Dead,Alive,9.520218,10.47978
Purple,0,54,Dead,Alive,10.76025,9.239754
Purple,0,50,Dead,Alive,9.020206,10.97979
Purple,0,50,Dead,Alive,7.240165,12.75983
Purple,0,50,Dead,Alive,7.220165,12.77983
Purple,0,50,Dead,Alive,9.660221,10.33978
Purple,0,50,Dead,Alive,8.28019,11.71981
Purple,0,50,Dead,Alive,11.64027,8.359734
Purple,0,50,Dead,Alive,9.040207,10.95979
Purple,0,40,Dead,Alive,9.200211,10.79979
Purple,0,30,Dead,Alive,9.900227,10.09977
Purple,0,50,Dead,Alive,7.800178,12.19982
Purple,0,50,Dead,Alive,10.18023,9.819767
Purple,0,50,Dead,Alive,9.220211,10.77979
Purple,0,50,Dead,Alive,7.300167,12.69983
Purple,0,50,Dead,Alive,8.960205,11.03979
Purple,0,52,Dead,Alive,9.16021,10.83979
Purple,0,50,Dead,Alive,11.90027,8.099728
Purple,0,50,Dead,Alive,9.000206,10.99979
Purple,0,50,Dead,Alive,7.840179,12.15982
Purple,0,50,Dead,Alive,10.42024,9.579762
Purple,0,52,Dead,Alive,11.62027,8.379734
Purple,1,50,Dead,Alive,7.940181,12.05982
Purple,0,50,Dead,Alive,9.360214,10.63979
Purple,0,50,Dead,Alive,9.780224,10.21978
Purple,1,70,Dead,Alive,8.380192,11.61981
Purple,0,50,Dead,Alive,10.78025,9.219753
Purple,1,70,Dead,Alive,9.560219,10.43978
Purple,0,40,Dead,Alive,8.880203,11.1198
Purple,1,60,Dead,Alive,8.580196,11.4198
Purple,0,50,Dead,Alive,9.440216,10.55978
Purple,0,50,Dead,Alive,11.12025,8.879745
Purple,0,50,Dead,Alive,8.7402,11.2598
Purple,0,50,Dead,Alive,9.720222,10.27978
Purple,10,30,Dead,Alive,8.860203,11.1398
Purple,0,40,Dead,Alive,11.22026,8.779743
Purple,1,70,Dead,Alive,8.960205,11.03979
Purple,0,40,Dead,Alive,13.78027,6.219728
Purple,0,50,Dead,Alive,7.180164,12.81984
Purple,10,52,Dead,Alive,12.98027,7.019727
Purple,0,50,Dead,Alive,11.72027,8.279732
Purple,0,50,Dead,Alive,9.960228,10.03977
Purple,0,40,Dead,Alive,8.620197,11.3798
Purple,1,70,Dead,Alive,9.760223,10.23978
Draw,1,10,Alive,Alive,,0.01973285
Purple,0,50,Dead,Alive,9.040207,10.95979
Purple,0,50,Dead,Alive,6.520149,13.47985
Purple,0,50,Dead,Alive,9.18021,10.81979
Purple,10,50,Dead,Alive,8.620197,11.3798
Purple,0,50,Dead,Alive,10.88025,9.119751
Purple,0,50,Dead,Alive,9.920227,10.07977
Purple,1,70,Dead,Alive,13.76027,6.239727
Purple,0,50,Dead,Alive,10.58024,9.419758
Purple,1,70,Dead,Alive,8.340191,11.65981
Purple,0,50,Dead,Alive,12.64027,7.359726
Purple,0,50,Dead,Alive,12.06027,7.939726
Purple,0,50,Dead,Alive,6.540149,13.45985
Purple,0,50,Dead,Alive,8.400192,11.59981
Purple,0,40,Dead,Alive,14.28027,5.719728
Purple,0,50,Dead,Alive,8.420193,11.57981
Purple,0,50,Dead,Alive,10.90025,9.099751
Purple,1,70,Dead,Alive,19.20027,0.7997327
Purple,0,50,Dead,Alive,9.680222,10.31978
Purple,0,50,Dead,Alive,8.360191,11.63981
Purple,1,70,Dead,Alive,12.50027,7.499726
Purple,0,32,Dead,Alive,12.72027,7.279727
Purple,0,50,Dead,Alive,8.100185,11.89981
Purple,0,50,Dead,Alive,8.440193,11.55981
Purple,0,52,Dead,Alive,16.84027,3.15973
Purple,0,30,Dead,Alive,10.20023,9.799767
Purple,1,40,Dead,Alive,12.18027,7.819726
Purple,0,50,Dead,Alive,8.380192,11.61981
Purple,1,60,Dead,Alive,17.50027,2.499731
Purple,0,50,Dead,Alive,11.96027,8.039726
Purple,1,70,Dead,Alive,12.14027,7.859726
Purple,10,50,Dead,Alive,8.560196,11.4398
Draw,11,37,Dead,Alive,,0.01973285
Purple,0,50,Dead,Alive,10.26023,9.739765
Purple,1,70,Dead,Alive,11.68027,8.319733
Purple,0,50,Dead,Alive,9.640221,10.35978
Purple,0,50,Dead,Alive,11.26026,8.739742
Purple,0,50,Dead,Alive,11.12025,8.879745
Purple,0,50,Dead,Alive,14.98027,5.019729
Draw,1,15,Alive,Alive,,0.01973285
Draw,1,22,Alive,Alive,,0.01973285
Purple,0,52,Dead,Alive,13.10027,6.899727
Purple,0,50,Dead,Alive,12.50027,7.499726
Purple,0,50,Dead,Alive,10.18023,9.819767
Purple,10,50,Dead,Alive,11.42026,8.579739
