Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left
Purple,0,50,Dead,Alive,5.940135,14.05986
Blue,0,0,Alive,Alive,7.88018,12.11982
Draw,20,20,Dead,Dead,,15.4399
Blue,20,0,Alive,Alive,8.220188,11.77981
Purple,10,50,Dead,Alive,7.380168,12.61983
Purple,0,40,Dead,Alive,5.920135,14.07986
Purple,0,30,Dead,Alive,6.58015,13.41985
Blue,0,0,Alive,Alive,7.760177,12.23982
Purple,10,50,Dead,Alive,6.660152,13.33985
Purple,0,50,Dead,Alive,8.580196,11.4198
Purple,10,50,Dead,Alive,7.360168,12.63983
Purple,10,30,Dead,Alive,6.940158,13.05984
Blue,20,0,Alive,Alive,8.200188,11.79981
Draw,25,25,Dead,Dead,,15.25989
Purple,0,50,Dead,Alive,8.880203,11.1198
Purple,0,50,Dead,Alive,6.420146,13.57985
Blue,40,5,Alive,Dead,6.040138,13.95986
Purple,0,30,Dead,Alive,10.94025,9.05975
Purple,0,50,Dead,Alive,6.160141,13.83986
Purple,0,50,Dead,Alive,7.160163,12.83984
Purple,0,50,Dead,Alive,10.12023,9.879768
Blue,0,10,Alive,Alive,8.400192,11.59981
Purple,0,40,Dead,Alive,6.240142,13.75986
Purple,0,50,Dead,Alive,6.14014,13.85986
Purple,10,50,Dead,Alive,6.100139,13.89986
Purple,10,50,Dead,Alive,7.820179,12.17982
Purple,0,50,Dead,Alive,8.100185,11.89981
Purple,5,50,Dead,Alive,6.220142,13.77986
Blue,0,5,Alive,Alive,8.420193,11.57981
Purple,5,40,Dead,Alive,8.500195,11.49981
Purple,10,50,Dead,Alive,6.340145,13.65985
Blue,0,0,Alive,Alive,7.980182,12.01982
Purple,0,50,Dead,Alive,8.420193,11.57981
Blue,0,0,Alive,Alive,8.200188,11.79981
Purple,0,50,Dead,Alive,8.880203,11.1198
Purple,0,30,Dead,Alive,8.400192,11.59981
Purple,0,30,Dead,Alive,12.72027,7.279727
Purple,10,42,Dead,Alive,6.760154,13.23985
Purple,10,40,Dead,Alive,6.240142,13.75986
Purple,0,40,Dead,Alive,6.820156,13.17984
Purple,0,50,Dead,Alive,9.880226,10.11977
Purple,0,52,Dead,Alive,10.44024,9.559761
Blue,0,0,Alive,Alive,8.000183,11.99982
Purple,10,50,Dead,Alive,6.58015,13.41985
Purple,10,50,Dead,Alive,6.360145,13.63985
Purple,0,30,Dead,Alive,9.120209,10.87979
Purple,0,40,Dead,Alive,9.640221,10.35978
Purple,0,50,Dead,Alive,6.240142,13.75986
Purple,0,50,Dead,Alive,7.360168,12.63983
Purple,0,50,Dead,Alive,9.820225,10.17978
Purple,0,40,Dead,Alive,11.20026,8.799744
Purple,0,50,Dead,Alive,6.960159,13.03984
Blue,20,0,Alive,Alive,7.680175,12.31982
Purple,0,42,Dead,Alive,11.16026,8.839745
Purple,0,50,Dead,Alive,7.280166,12.71983
Purple,0,42,Dead,Alive,7.040161,12.95984
Purple,0,50,Dead,Alive,10.32024,9.679764
Purple,0,50,Dead,Alive,7.040161,12.95984
Purple,10,50,Dead,Alive,12.40027,7.599726
Purple,0,40,Dead,Alive,7.500171,12.49983
Purple,0,50,Dead,Alive,8.660198,11.3398
Purple,10,50,Dead,Alive,12.24027,7.759726
Blue,0,0,Alive,Alive,8.060184,11.93982
Purple,5,30,Dead,Alive,7.640174,12.35983
Purple,0,50,Dead,Alive,9.780224,10.21978
Purple,0,50,Dead,Alive,8.040184,11.95982
Purple,10,30,Dead,Alive,10.28024,9.719765
Purple,0,50,Dead,Alive,6.280143,13.71986
Purple,0,50,Dead,Alive,7.060161,12.93984
Purple,0,30,Dead,Alive,17.44027,2.559731
Purple,0,30,Dead,Alive,9.020206,10.97979
Blue,20,0,Alive,Alive,7.90018,12.09982
Purple,0,40,Dead,Alive,11.40026,8.599739
Purple,0,40,Dead,Alive,12.42027,7.579726
Purple,0,50,Dead,Alive,9.380215,10.61979
Purple,0,30,Dead,Alive,9.16021,10.83979
Purple,0,50,Dead,Alive,9.660221,10.33978
Purple,0,50,Dead,Alive,5.740131,14.25987
Purple,0,50,Dead,Alive,10.78025,9.219753
Purple,0,32,Dead,Alive,16.10027,3.89973
Purple,10,50,Dead,Alive,9.000206,10.99979
Purple,0,40,Dead,Alive,7.46017,12.53983
Purple,0,50,Dead,Alive,13.44027,6.559727
Purple,0,50,Dead,Alive,14.50027,5.499728
Purple,0,40,Dead,Alive,7.260166,12.73983
Blue,50,0,Alive,Dead,6.400146,13.59985
Purple,0,52,Dead,Alive,12.10027,7.899726
Purple,0,50,Dead,Alive,11.56026,8.439735
Purple,0,50,Dead,Alive,11.38026,8.61974
Purple,0,50,Dead,Alive,11.38026,8.61974
Purple,10,50,Dead,Alive,6.540149,13.45985
Purple,10,50,Dead,Alive,13.66027,6.339727
Purple,0,50,Dead,Alive,13.34027,6.659727
Purple,0,50,Dead,Alive,11.94027,8.059727
Blue,0,10,Alive,Alive,8.620197,11.3798
Purple,0,50,Dead,Alive,5.820133,14.17987
Purple,0,32,Dead,Alive,15.56027,4.439729
Purple,0,40,Dead,Alive,10.74025,9.259754
Purple,0,50,Dead,Alive,13.54027,6.459727
Purple,0,50,Dead,Alive,9.340214,10.65979
,,,,,,
,4,,,,,
